,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,2,1488,1919,4,Spirit
1,2,1488,1919,4,Spirit
2,2,1506,1919,0,Routine
3,2,1488,1919,3,Literary
4,2,1488,1919,4,Spirit
5,2,1488,1919,4,Spirit
6,2,1488,1919,4,Spirit
7,2,1488,1919,4,Spirit
8,2,1488,1919,4,Spirit
9,2,1497,1919,2,Interpersonal
10,2,1488,1919,3,Literary
11,2,1488,1919,4,Spirit
12,2,1488,1919,4,Spirit
13,2,1506,1919,0,Routine
14,2,1504,1919,1,Form
15,2,1497,1919,2,Interpersonal
16,2,1488,1919,4,Spirit
17,2,1488,1919,4,Spirit
18,2,1488,1919,4,Spirit
19,2,1506,1919,0,Routine
20,2,1488,1919,3,Literary
21,2,1504,1919,1,Form
22,2,1488,1919,3,Literary
23,2,1497,1919,2,Interpersonal
24,2,1488,1919,4,Spirit
25,2,1488,1919,4,Spirit
26,2,1506,1919,0,Routine
27,2,1506,1919,0,Routine
28,2,1488,1919,4,Spirit
29,2,1488,1919,3,Literary
30,2,1504,1919,1,Form
31,2,1488,1919,4,Spirit
32,2,1497,1919,2,Interpersonal
33,2,1488,1919,4,Spirit
34,2,1488,1919,4,Spirit
35,2,1488,1919,3,Literary
36,2,1488,1919,3,Literary
37,2,1488,1919,4,Spirit
38,2,1488,1919,3,Literary
39,2,1488,1919,4,Spirit
40,2,1506,1919,0,Routine
41,2,1488,1919,4,Spirit
42,2,1488,1919,4,Spirit
43,2,1506,1919,0,Routine
44,2,1497,1919,2,Interpersonal
45,2,1506,1919,0,Routine
46,2,1488,1919,4,Spirit
47,2,1504,1919,1,Form
48,2,1488,1919,3,Literary
49,2,1506,1919,0,Routine
50,2,1506,1919,0,Routine
51,2,1488,1919,4,Spirit
52,2,1497,1919,2,Interpersonal
53,2,1488,1919,3,Literary
54,2,1488,1919,3,Literary
55,2,1488,1919,3,Literary
56,2,1488,1919,3,Literary
57,2,1504,1919,1,Form
58,2,1488,1919,4,Spirit
59,2,1497,1919,2,Interpersonal
60,2,1488,1919,3,Literary
61,2,1488,1919,3,Literary
62,2,1488,1919,3,Literary
63,2,1488,1919,3,Literary
64,2,1488,1919,3,Literary
65,2,1488,1919,3,Literary
66,2,1488,1919,3,Literary
67,2,1488,1919,4,Spirit
68,2,1488,1919,3,Literary
