,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,3.0,744,1934.0,2,Interpersonal
1,3.0,931,1936.0,5,Professional Activity
2,3.0,744,1934.0,2,Interpersonal
3,3.0,744,1934.0,2,Interpersonal
4,3.0,744,1934.0,2,Interpersonal
5,3.0,744,1934.0,2,Interpersonal
6,8.0,1750,1947.0,10,Expression
7,3.0,931,1936.0,5,Professional Activity
8,3.0,733,1934.0,0,Reading
9,3.0,744,1934.0,2,Interpersonal
10,3.0,940,1936.0,6,Soviet Revolution
11,3.0,940,1936.0,6,Soviet Revolution
12,3.0,733,1934.0,0,Reading
13,8.0,1750,1947.0,9,Judgement
14,3.0,931,1936.0,5,Professional Activity
15,8.0,1750,1947.0,10,Expression
16,3.0,733,1934.0,0,Reading
17,3.0,776,1934.0,3,Content
18,3.0,733,1934.0,0,Reading
19,8.0,1750,1947.0,10,Expression
20,3.0,839,1935.0,4,Citations
21,3.0,940,1936.0,6,Soviet Revolution
22,8.0,1750,1947.0,10,Expression
23,8.0,1750,1947.0,10,Expression
24,3.0,776,1934.0,3,Content
25,3.0,776,1934.0,3,Content
26,3.0,776,1934.0,3,Content
27,3.0,744,1934.0,1,Form
28,8.0,1750,1947.0,10,Expression
29,3.0,931,1936.0,5,Professional Activity
30,3.0,931,1936.0,5,Professional Activity
31,8.0,1750,1947.0,10,Expression
32,3.0,776,1934.0,3,Content
33,3.0,978,1937.0,7,Recitation
34,3.0,931,1936.0,5,Professional Activity
35,3.0,931,1936.0,5,Professional Activity
36,3.0,733,1934.0,0,Reading
37,8.0,1718,1947.0,8,Testimony
38,3.0,931,1936.0,5,Professional Activity
39,8.0,1718,1947.0,8,Testimony
40,3.0,744,1934.0,2,Interpersonal
41,3.0,931,1936.0,5,Professional Activity
42,3.0,931,1936.0,5,Professional Activity
43,8.0,1718,1947.0,8,Testimony
44,3.0,744,1934.0,2,Interpersonal
45,3.0,733,1934.0,0,Reading
46,8.0,1718,1947.0,8,Testimony
47,8.0,1750,1947.0,10,Expression
48,8.0,1750,1947.0,10,Expression
49,8.0,1718,1947.0,8,Testimony
50,3.0,931,1936.0,5,Professional Activity
51,3.0,931,1936.0,5,Professional Activity
52,3.0,978,1937.0,7,Recitation
53,3.0,733,1934.0,0,Reading
54,3.0,733,1934.0,0,Reading
55,8.0,1750,1947.0,10,Expression
56,3.0,776,1934.0,3,Content
57,3.0,931,1936.0,5,Professional Activity
58,3.0,931,1936.0,5,Professional Activity
59,8.0,1718,1947.0,8,Testimony
60,3.0,931,1936.0,5,Professional Activity
61,3.0,940,1936.0,6,Soviet Revolution
62,3.0,978,1937.0,7,Recitation
63,3.0,744,1934.0,2,Interpersonal
64,3.0,978,1937.0,7,Recitation
65,3.0,744,1934.0,2,Interpersonal
66,3.0,931,1936.0,5,Professional Activity
67,3.0,931,1936.0,5,Professional Activity
68,3.0,931,1936.0,5,Professional Activity
69,3.0,733,1934.0,0,Reading
70,3.0,931,1936.0,5,Professional Activity
71,8.0,1718,1947.0,8,Testimony
72,3.0,744,1934.0,1,Form
73,3.0,978,1937.0,7,Recitation
74,3.0,744,1934.0,2,Interpersonal
75,8.0,1718,1947.0,8,Testimony
76,3.0,931,1936.0,5,Professional Activity
77,3.0,931,1936.0,5,Professional Activity
78,3.0,931,1936.0,5,Professional Activity
79,8.0,1718,1947.0,8,Testimony
80,3.0,978,1937.0,7,Recitation
81,3.0,931,1936.0,5,Professional Activity
82,3.0,744,1934.0,2,Interpersonal
83,3.0,931,1936.0,5,Professional Activity
84,3.0,978,1937.0,7,Recitation
85,3.0,733,1934.0,0,Reading
86,3.0,978,1937.0,7,Recitation
87,3.0,931,1936.0,5,Professional Activity
88,3.0,978,1937.0,7,Recitation
89,3.0,978,1937.0,7,Recitation
90,8.0,1750,1947.0,10,Expression
91,3.0,733,1934.0,0,Reading
92,3.0,978,1937.0,7,Recitation
93,3.0,931,1936.0,5,Professional Activity
94,3.0,931,1936.0,5,Professional Activity
95,3.0,931,1936.0,5,Professional Activity
96,3.0,931,1936.0,5,Professional Activity
97,3.0,978,1937.0,7,Recitation
98,3.0,978,1937.0,7,Recitation
99,3.0,733,1934.0,0,Reading
100,3.0,931,1936.0,5,Professional Activity
101,3.0,940,1936.0,6,Soviet Revolution
102,3.0,733,1934.0,0,Reading
103,3.0,978,1937.0,7,Recitation
104,3.0,931,1936.0,5,Professional Activity
105,8.0,1718,1947.0,8,Testimony
106,3.0,744,1934.0,1,Form
107,3.0,931,1936.0,5,Professional Activity
108,3.0,931,1936.0,5,Professional Activity
109,3.0,931,1936.0,5,Professional Activity
110,3.0,931,1936.0,5,Professional Activity
111,3.0,931,1936.0,5,Professional Activity
112,3.0,744,1934.0,2,Interpersonal
113,3.0,733,1934.0,0,Reading
114,3.0,839,1935.0,4,Citations
115,3.0,931,1936.0,5,Professional Activity
116,3.0,931,1936.0,5,Professional Activity
117,3.0,744,1934.0,2,Interpersonal
118,3.0,940,1936.0,6,Soviet Revolution
119,3.0,931,1936.0,5,Professional Activity
120,8.0,1718,1947.0,8,Testimony
121,3.0,940,1936.0,6,Soviet Revolution
122,8.0,1750,1947.0,10,Expression
123,3.0,931,1936.0,5,Professional Activity
124,8.0,1750,1947.0,10,Expression
125,3.0,744,1934.0,2,Interpersonal
126,8.0,1750,1947.0,10,Expression
127,3.0,744,1934.0,1,Form
128,3.0,931,1936.0,5,Professional Activity
129,3.0,931,1936.0,5,Professional Activity
130,3.0,931,1936.0,5,Professional Activity
131,3.0,940,1936.0,6,Soviet Revolution
132,8.0,1750,1947.0,9,Judgement
133,3.0,776,1934.0,3,Content
134,8.0,1750,1947.0,10,Expression
135,3.0,839,1935.0,4,Citations
136,3.0,744,1934.0,1,Form
137,3.0,744,1934.0,1,Form
138,3.0,940,1936.0,6,Soviet Revolution
139,3.0,744,1934.0,1,Form
140,3.0,744,1934.0,2,Interpersonal
141,8.0,1750,1947.0,10,Expression
142,8.0,1718,1947.0,8,Testimony
143,3.0,744,1934.0,2,Interpersonal
144,3.0,931,1936.0,5,Professional Activity
145,3.0,931,1936.0,5,Professional Activity
146,3.0,744,1934.0,2,Interpersonal
147,8.0,1750,1947.0,10,Expression
148,8.0,1718,1947.0,8,Testimony
149,8.0,1750,1947.0,10,Expression
150,3.0,733,1934.0,0,Reading
151,3.0,931,1936.0,5,Professional Activity
152,3.0,733,1934.0,0,Reading
