,diarynum,entry_year,entry_id,0,1,2
0,3.0,1934.0,733,0.1172159,0.3306213,-0.19131622
1,3.0,1934.0,744,0.10294139,0.21914697,-0.1884154
2,3.0,1934.0,744,0.037948836,0.19257241,-0.15382643
3,3.0,1934.0,776,0.045163978,0.25740126,-0.060181223
4,3.0,1935.0,839,0.12778462,0.36941698,-0.1560605
5,3.0,1936.0,931,0.042292368,0.31429705,-0.10177669
6,3.0,1936.0,940,0.11232674,0.3255373,-0.18069923
7,3.0,1937.0,978,0.23457138,0.17882197,-0.0460554
8,8.0,1947.0,1718,0.14612688,0.240765,-0.24492778
9,8.0,1947.0,1750,0.38565165,0.6456449,-0.7061941
10,8.0,1947.0,1750,0.10742036,0.31820342,-0.14573213
11,8.0,1947.0,1750,0.17542566,0.14389281,-0.3073135
12,8.0,1957.0,2162,0.12697747,0.11259943,-0.29104704
13,8.0,1957.0,2162,0.1628266,0.92021555,-0.9706279
14,8.0,1957.0,2162,0.27057144,0.14369005,0.15805449
15,8.0,1957.0,2162,0.14930926,0.26817164,-0.22056143
16,10.0,1902.0,2356,0.23218901,0.1869271,-0.07109268
17,10.0,1902.0,2357,0.20658515,0.51099813,-0.6377888
18,10.0,1902.0,2357,0.16507566,0.1559471,0.036174
19,10.0,1902.0,2359,0.6059134,0.53504515,-0.56981915
20,10.0,1902.0,2359,0.24406382,0.1672357,-0.0075998623
21,10.0,1902.0,2359,0.0685998,0.016996,-0.23997708
22,10.0,1902.0,2359,0.13997565,0.051130194,-0.23964152
23,10.0,1902.0,2359,0.25867558,0.14830244,-0.012948502
24,10.0,1902.0,2359,0.2759144,0.15245922,-0.0017305295
25,10.0,1902.0,2359,0.2773695,0.07919149,0.030122835
26,10.0,1902.0,2359,0.09811738,0.2030045,-0.14280328
27,10.0,1902.0,2359,0.24297169,0.11019674,0.018121762
28,10.0,1902.0,2359,0.12382386,0.13553116,-0.06262215
29,10.0,1902.0,2359,0.28362492,0.052178442,-0.068085715
30,10.0,1902.0,2359,0.3306691,0.18564387,0.10751175
31,10.0,1902.0,2364,0.079261474,0.23654518,-0.38457978
32,10.0,1902.0,2366,0.05329984,0.26003614,-0.2651196
33,10.0,1902.0,2366,0.26304296,0.184236,-0.025015527
34,10.0,1902.0,2370,0.044551317,0.13858981,-0.124168254
35,10.0,1902.0,2371,0.18088484,0.13155961,0.05093672
36,10.0,1902.0,2375,0.053607654,0.1867972,-0.1512763
37,10.0,1902.0,2375,-0.100473754,0.1428412,-0.470148
38,10.0,1902.0,2376,0.10409978,0.23362865,-0.24629322
39,10.0,1902.0,2377,0.062290862,0.24353148,-0.238028
40,10.0,1911.0,2381,0.31931224,0.47391203,-0.5780778
41,10.0,1911.0,2381,0.4688467,0.2523185,-0.1360422
42,10.0,1911.0,2382,0.0104208235,0.31023338,-0.31019157
43,10.0,1911.0,2393,0.4965003,0.2660023,-0.09378895
44,10.0,1911.0,2394,-0.0440501,0.28566477,-0.08688889
45,10.0,1911.0,2400,0.14442727,0.2246726,-0.20068273
46,10.0,1911.0,2402,0.061218247,0.20798324,-0.1998001
47,10.0,1911.0,2404,0.34791493,0.3369309,-0.08639341
48,10.0,1911.0,2404,0.06078912,0.3366329,-0.19341642
49,10.0,1911.0,2404,-0.09066135,0.4969207,-0.37893578
50,10.0,1911.0,2406,0.4092147,0.28341419,-0.13380808
51,10.0,1911.0,2406,0.34051684,0.1815959,0.046189718
52,10.0,1911.0,2416,0.45912945,0.061869953,0.21034941
53,10.0,1911.0,2416,0.40324494,0.28516918,-0.14324363
54,10.0,1912.0,2431,0.0668336,0.26761046,-0.2588952
55,10.0,1912.0,2435,0.078894235,0.25984427,-0.2689254
56,10.0,1912.0,2436,-0.01217159,0.2154728,-0.16911365
57,10.0,1912.0,2436,0.083089896,0.22696176,-0.12690334
58,10.0,1912.0,2437,0.008839808,0.18794745,-0.11374776
59,10.0,1912.0,2444,0.04020172,0.38582566,-0.3528058
60,10.0,1912.0,2446,0.057504185,0.17307131,-0.123175286
61,10.0,1912.0,2464,-0.2860152,0.27689278,-0.58410275
62,10.0,1912.0,2472,0.31940293,0.15681131,-0.014051047
63,10.0,1912.0,2473,0.19250715,0.11959556,0.037601314
64,10.0,1912.0,2474,-0.02402673,0.33576164,-0.3203761
65,10.0,1912.0,2495,0.07563381,0.22249402,-0.24880955
66,10.0,1912.0,2496,0.31600845,0.30300203,-0.17505765
67,10.0,1912.0,2501,0.047262907,0.22159664,-0.2970113
68,10.0,1912.0,2501,0.11931315,0.04444739,-0.4098124
69,10.0,1912.0,2543,-0.08414094,0.17246951,-0.16555893
70,10.0,1912.0,2544,0.06713299,0.3268842,-0.056268223
71,10.0,1912.0,2553,-0.09874269,0.21714194,-0.22649573
72,10.0,1912.0,2556,0.13554354,0.31795308,-0.119308464
73,10.0,1912.0,2560,0.10598861,0.30759707,-0.2518589
74,10.0,1912.0,2576,0.1269997,0.27293006,-0.22426657
75,10.0,1912.0,2580,0.14163159,0.23469867,-0.20983098
76,10.0,1912.0,2584,0.2193407,0.5305154,-0.5761616
77,10.0,1912.0,2586,0.04737694,0.25798312,-0.26512542
78,10.0,1912.0,2587,0.36593774,0.26292664,-0.1548188
79,10.0,1912.0,2587,0.99049854,-0.10440435,-0.13875134
80,10.0,1912.0,2587,-0.010683561,0.20422538,-0.19804823
81,10.0,1912.0,2594,0.1400364,0.29692072,-0.15129663
82,10.0,1912.0,2599,0.5168941,0.25389957,-0.123257704
83,10.0,1912.0,2600,0.0882289,0.28122678,-0.24545981
84,10.0,1912.0,2601,0.12737018,0.23043051,-0.19852722
85,10.0,1912.0,2601,0.009004304,0.2749951,-0.38497725
86,10.0,1912.0,2601,0.40967113,0.30054882,-0.19429342
87,10.0,1912.0,2603,-0.038231842,0.192126,-0.23710975
88,10.0,1912.0,2615,0.07812306,0.20220609,-0.28900462
89,10.0,1912.0,2615,0.0716816,0.31253168,-0.13315332
90,10.0,1912.0,2621,0.09463951,0.19561462,-0.12355916
91,10.0,1913.0,2625,0.053206407,0.29714054,-0.22136714
92,10.0,1913.0,2634,-0.045473542,0.24175537,-0.20175733
93,10.0,1913.0,2636,0.36110976,0.74662745,-0.8184027
94,10.0,1913.0,2636,-0.01289524,0.20606922,-0.2166814
95,10.0,1913.0,2637,0.12803897,0.22674865,-0.21287897
96,10.0,1913.0,2640,-0.02077693,0.19651665,-0.1860792
97,10.0,1913.0,2641,0.005629077,0.18843333,-0.21284384
98,10.0,1913.0,2641,0.2874311,0.1797021,-0.054751623
99,10.0,1913.0,2642,0.593691,0.5604846,-0.50425845
100,10.0,1913.0,2644,-0.0770168,0.14485855,-0.18219802
101,10.0,1913.0,2645,-0.020204654,0.1529785,-0.11624487
102,10.0,1913.0,2646,0.056966,0.27976847,-0.27901602
103,10.0,1913.0,2647,0.114422195,0.24359675,-0.2503831
104,10.0,1913.0,2650,0.017540129,0.16483425,-0.13977878
105,10.0,1913.0,2651,0.09268701,0.28314528,-0.23823102
106,10.0,1913.0,2658,0.066842966,0.22599235,-0.3007633
107,10.0,1913.0,2658,-0.057825416,0.21126461,-0.19011265
108,10.0,1913.0,2680,-0.0917653,0.15197088,-0.20820738
109,10.0,1913.0,2686,0.2528192,0.539449,-0.6371604
110,10.0,1913.0,2699,0.023570774,0.2602801,-0.26763457
111,10.0,1913.0,2703,0.15234664,0.10325255,-0.36278024
112,10.0,1913.0,2706,0.46860793,0.5704718,-0.5919754
113,10.0,1913.0,2711,-0.11170287,0.3735453,-0.28369993
114,10.0,1913.0,2712,0.12865007,0.267142,-0.35140032
115,10.0,1913.0,2713,0.5482671,0.33286443,0.051826384
116,10.0,1917.0,2738,0.87728226,-0.13481273,0.00845731
117,10.0,1917.0,2762,0.11121685,0.26092765,-0.23796646
118,10.0,1917.0,2795,0.08940514,0.27674118,-0.22207424
119,10.0,1918.0,2833,0.122130364,0.21424846,-0.193504
120,10.0,1918.0,2839,0.14335877,0.2300506,-0.20840208
121,10.0,1918.0,2840,0.10462457,0.22357291,-0.18011568
122,10.0,1918.0,2840,0.043280084,0.2855713,-0.022351058
123,10.0,1918.0,2840,0.39190906,0.61081755,-0.47501534
124,10.0,1918.0,2849,0.09354422,0.04615604,-0.20995517
125,10.0,1918.0,2851,0.1348603,0.21629143,-0.1861776
126,10.0,1918.0,2853,0.07330214,0.22136866,-0.2455453
127,10.0,1918.0,2853,0.09092089,0.32800317,-0.14520591
128,10.0,1918.0,2853,-0.039170757,0.12443483,-0.4896305
129,10.0,1918.0,2853,0.046913657,0.20504501,-0.29628837
130,10.0,1918.0,2853,0.41494632,0.28031224,-0.14340684
131,10.0,1918.0,2853,-0.011648098,0.11222713,-0.44278178
132,10.0,1918.0,2853,0.27280933,0.15594377,0.0013558259
133,10.0,1918.0,2853,0.12853138,0.19557554,-0.18718006
134,10.0,1918.0,2853,0.28796297,0.15358905,0.0019640895
135,10.0,1918.0,2853,0.03428734,0.31859645,-0.11973927
136,10.0,1918.0,2853,0.22798173,0.18870692,-0.04805508
137,10.0,1918.0,2853,0.46991298,0.008193692,0.19628789
138,10.0,1918.0,2853,0.07162427,0.23776422,-0.23929355
139,10.0,1918.0,2854,0.12328753,0.20905007,-0.19500095
140,10.0,1918.0,2854,0.1084176,0.20216972,-0.16857459
141,10.0,1918.0,2854,0.13278295,0.095296405,-0.24915417
142,10.0,1918.0,2854,0.36505726,0.2056261,0.17752108
143,10.0,1919.0,2855,0.20754242,0.14513882,0.0050016516
144,10.0,1919.0,2861,0.27214876,0.1433133,-0.009425212
145,10.0,1919.0,2865,0.0802543,0.031329967,-0.24343586
146,10.0,1920.0,2868,0.35047528,0.040869404,-0.05462945
147,10.0,1920.0,2868,0.36291754,-0.1252757,-0.06331098
148,10.0,1921.0,2878,0.16681117,0.12405874,-0.3169636
149,10.0,1921.0,2883,0.5050212,-0.20061146,0.046037428
150,10.0,1921.0,2883,0.07758975,0.2960756,-0.14718068
151,10.0,1921.0,2883,0.29004902,0.17209986,0.0026318962
152,10.0,1921.0,2891,0.88983494,0.39288554,-0.11351019
153,10.0,1921.0,2894,0.11811647,0.34873012,-0.18437938
154,10.0,1921.0,2904,0.1240249,0.24501157,-0.22231208
155,10.0,1921.0,2908,0.14279026,0.2672585,-0.16153122
156,10.0,1921.0,2909,0.103914015,0.38228345,-0.12814891
157,10.0,1921.0,2909,0.27013955,0.15335748,0.010826372
158,10.0,1921.0,2910,0.856172,0.20607762,-0.2824913
159,10.0,1921.0,2911,0.28060508,0.15787525,-0.0040042778
160,10.0,1921.0,2911,0.40253836,0.6382789,-0.54060024
161,10.0,1921.0,2911,0.083607875,0.23392208,-0.19338317
162,10.0,1921.0,2913,-0.15751454,0.12815551,-0.63533044
163,10.0,1921.0,2918,0.21724807,0.12913202,0.019778382
164,10.0,1921.0,2918,0.07282074,0.1534204,-0.12045762
165,10.0,1921.0,2918,0.2856862,0.15407225,0.013324961
166,10.0,1921.0,2919,0.10578499,0.31494492,-0.17988002
167,10.0,1921.0,2919,0.076271296,0.26636678,-0.23729323
168,10.0,1921.0,2920,0.12986167,0.25088155,-0.23759799
169,10.0,1921.0,2922,0.24132814,0.06422822,-0.12298007
170,10.0,1921.0,2923,0.629457,0.54330575,-0.48074403
171,10.0,1921.0,2923,0.3931063,0.4791352,-0.6240298
172,10.0,1921.0,2923,0.45558733,0.647383,-0.84794164
173,10.0,1921.0,2923,0.07886607,0.18439186,-0.13739549
174,11.0,1921.0,2939,0.10960819,0.270924,-0.23422606
175,12.0,1903.0,139598,0.12631021,0.32250738,-0.16809846
176,13.0,1915.0,4335,0.06984826,0.30764005,-0.19115141
177,13.0,1916.0,4532,0.050422587,0.261156,-0.10853189
178,13.0,1916.0,4587,0.05943507,0.16312154,-0.18530357
179,13.0,1916.0,4797,0.27479264,0.17627639,0.15058495
180,13.0,1919.0,5188,0.03684147,0.24786253,-0.10978231
181,14.0,1941.0,5206,0.16931948,0.085437804,0.04579509
182,14.0,1941.0,5206,0.19165958,0.095715486,0.04443348
183,14.0,1942.0,5352,-0.07068372,0.088689156,-0.5513762
184,14.0,1942.0,5442,0.13562186,0.22861697,-0.23225622
185,14.0,1942.0,5470,0.12747616,0.17824914,-0.25296175
186,14.0,1942.0,5499,0.09951753,0.21632935,-0.20617862
187,14.0,1943.0,5746,0.14112335,0.12037854,-0.2848799
188,14.0,1944.0,5821,0.28533372,0.14773494,0.05196751
189,14.0,1945.0,5879,0.030103121,0.1366874,-0.17387962
190,15.0,1942.0,6077,0.12318496,0.29593977,-0.30226922
191,15.0,1942.0,6089,0.29768997,0.13564822,0.04049267
192,15.0,1942.0,6119,0.12727137,0.32908383,-0.1648939
193,15.0,1943.0,6169,0.13078134,0.6121267,-0.72581476
194,15.0,1943.0,6170,0.15258256,0.53946173,-0.62490726
195,15.0,1943.0,6180,0.058245055,0.14395113,-0.14771271
196,15.0,1943.0,6180,0.08332826,0.20344433,-0.11747669
197,15.0,1943.0,6187,-0.017743213,0.19467774,-0.21388736
198,15.0,1944.0,6225,0.2965761,0.2538533,-0.21430056
199,15.0,1944.0,6235,0.24201396,0.3131271,-0.04907483
200,15.0,1944.0,6238,0.21473707,0.070980884,0.09514377
201,15.0,1944.0,6239,0.08288367,0.011551645,-0.18026315
202,15.0,1944.0,6285,0.32587734,0.3868966,-0.12292726
203,15.0,1946.0,6347,0.4066477,0.7812875,-0.75159776
204,15.0,1946.0,6359,0.07855633,0.17414312,-0.14049713
205,15.0,1947.0,6383,0.06325453,0.17566356,-0.27786443
206,15.0,1947.0,6383,0.09749631,0.32439822,-0.15170603
207,17.0,1923.0,7741,0.4509929,0.5391166,-0.7226833
208,18.0,1933.0,6784,0.029264688,0.26207414,-0.09785921
209,18.0,1935.0,6902,0.22148477,0.27771914,-0.027128413
210,18.0,1935.0,6910,0.23969954,0.5032834,-0.36996645
211,18.0,1935.0,6972,-0.007605032,0.29472944,-0.1213806
212,18.0,1937.0,7172,0.2223298,0.07705715,-0.35479936
213,18.0,1937.0,7244,0.42569754,0.73576176,-0.6786052
214,18.0,1939.0,7606,0.37749708,0.2970611,-0.15030223
215,18.0,1939.0,7606,-0.005845569,0.27781022,-0.11714725
216,19.0,1917.0,7805,0.23598257,0.8041435,-0.947394
217,19.0,1917.0,7805,0.16925035,0.6844978,-0.80066544
218,19.0,1917.0,7833,-0.047529466,0.29868707,-0.30574453
219,19.0,1917.0,7833,0.23674156,0.17028308,-0.0046289526
220,19.0,1917.0,7834,0.14518048,0.13165438,-0.004104561
221,19.0,1917.0,7848,0.1338427,0.24632956,-0.2879819
222,19.0,1918.0,7868,0.10176175,0.42257977,-0.21301064
223,19.0,1918.0,7868,0.11928493,0.23742902,-0.20551953
224,19.0,1901.0,226852,0.059548665,0.24499886,-0.078181215
225,19.0,1902.0,226853,0.06671448,0.38663316,-0.23814464
226,19.0,1912.0,226922,0.13760723,0.28203422,-0.08929375
227,19.0,1912.0,226939,0.046945326,0.17038658,-0.15078226
228,19.0,1912.0,226939,0.15710124,0.00993691,-0.31125286
229,19.0,1916.0,227003,0.11956701,0.33452258,-0.12016374
230,19.0,1921.0,227056,0.09570029,0.28615668,-0.2554525
231,19.0,1940.0,227198,0.1888046,0.12563875,0.01583107
232,19.0,1940.0,227220,0.29847175,0.20104647,-0.05423512
233,19.0,1940.0,227249,0.3332971,0.05457534,-0.13764648
234,19.0,1941.0,227382,0.07323034,0.2782233,-0.23930512
235,19.0,1941.0,227385,-0.06941743,-0.029305005,-0.49254626
236,19.0,1941.0,227410,0.06537108,0.031880714,-0.20886214
