,diarynum,entry_id,entry_year,new_entry_type,new_name_type
148,32.0,12883,1942.0,0,Form
149,32.0,12883,1942.0,8,Literary Models
150,32.0,12883,1942.0,8,Literary Models
151,32.0,12883,1942.0,0,Form
152,32.0,12889,1942.0,9,Judgement
153,32.0,12889,1942.0,5,Publication
154,32.0,12890,1942.0,4,Professional Activity
155,32.0,12903,1942.0,8,Literary Models
156,32.0,12903,1942.0,6,Soviet Novel
157,32.0,12904,1942.0,0,Form
158,32.0,12904,1942.0,4,Professional Activity
159,32.0,12904,1942.0,4,Professional Activity
160,32.0,12946,1943.0,4,Professional Activity
161,32.0,12946,1943.0,5,Publication
162,32.0,12946,1943.0,8,Literary Models
163,32.0,12946,1943.0,5,Publication
164,32.0,12950,1943.0,0,Form
165,32.0,12959,1943.0,2,Interpersonal
166,32.0,12961,1943.0,7,Historical Fiction
167,32.0,12961,1943.0,6,Soviet Novel
168,32.0,12961,1943.0,6,Soviet Novel
169,32.0,12961,1943.0,5,Publication
170,32.0,12987,1943.0,4,Professional Activity
171,32.0,13001,1943.0,4,Professional Activity
172,32.0,13054,1946.0,3,In Media
173,32.0,13054,1946.0,9,Judgement
174,32.0,13054,1946.0,0,Form
175,32.0,13054,1946.0,0,Form
176,32.0,13054,1946.0,8,Literary Models
177,32.0,13059,1947.0,5,Publication
178,32.0,13059,1947.0,6,Soviet Novel
179,32.0,13059,1947.0,5,Publication
180,32.0,13059,1947.0,3,In Media
181,32.0,13059,1947.0,9,Judgement
182,32.0,13059,1947.0,6,Soviet Novel
183,32.0,13059,1947.0,6,Soviet Novel
184,32.0,13059,1947.0,0,Form
185,32.0,13059,1947.0,6,Soviet Novel
186,32.0,13059,1947.0,6,Soviet Novel
187,32.0,13059,1947.0,0,Form
188,32.0,13059,1947.0,9,Judgement
189,32.0,13059,1947.0,5,Publication
190,32.0,13120,1956.0,8,Literary Models
191,32.0,13132,1958.0,4,Professional Activity
192,32.0,13134,1958.0,0,Form
193,32.0,13135,1958.0,1,Content
194,32.0,13152,1958.0,5,Publication
195,32.0,13152,1958.0,0,Form
196,32.0,13152,1958.0,6,Soviet Novel
197,32.0,13165,1962.0,3,In Media
198,33.0,13515,1943.0,5,Publication
199,33.0,13515,1943.0,3,In Media
200,35.0,29915,1966.0,4,Professional Activity
201,35.0,30055,1967.0,5,Publication
202,35.0,30278,1968.0,4,Professional Activity
203,35.0,30358,1969.0,5,Publication
204,35.0,30508,1970.0,3,In Media
205,35.0,30508,1970.0,2,Interpersonal
206,35.0,30533,1970.0,2,Interpersonal
207,35.0,30533,1970.0,4,Professional Activity
208,35.0,30592,1970.0,3,In Media
209,35.0,30592,1970.0,4,Professional Activity
210,35.0,30613,1970.0,5,Publication
211,35.0,30613,1970.0,9,Judgement
212,35.0,30654,1971.0,9,Judgement
213,35.0,30775,1973.0,4,Professional Activity
214,35.0,30775,1973.0,5,Publication
215,35.0,30859,1978.0,4,Professional Activity
216,35.0,30876,1978.0,3,In Media
217,35.0,30876,1978.0,5,Publication
218,35.0,30876,1978.0,6,Soviet Novel
219,35.0,30880,1978.0,3,In Media
220,37.0,13938,1935.0,4,Professional Activity
221,37.0,13967,1935.0,4,Professional Activity
222,37.0,13967,1935.0,0,Form
223,37.0,13967,1935.0,6,Soviet Novel
224,37.0,13968,1935.0,3,In Media
225,37.0,13970,1935.0,0,Form
226,38.0,343498,1945.0,5,Publication
227,38.0,343327,1943.0,2,Interpersonal
228,38.0,343286,1943.0,0,Form
229,38.0,343279,1942.0,6,Soviet Novel
230,38.0,343202,1942.0,1,Content
231,38.0,343202,1942.0,0,Form
232,38.0,343202,1942.0,6,Soviet Novel
233,38.0,343202,1942.0,9,Judgement
234,38.0,343200,1942.0,3,In Media
235,38.0,343199,1942.0,8,Literary Models
236,38.0,343186,1942.0,9,Judgement
237,38.0,343153,1942.0,9,Judgement
238,38.0,343152,1942.0,9,Judgement
239,38.0,343098,1942.0,9,Judgement
240,38.0,343087,1942.0,0,Form
241,38.0,342948,1941.0,5,Publication
242,38.0,342948,1941.0,8,Literary Models
243,39.0,14291,1929.0,0,Form
244,41.0,14737,1942.0,6,Soviet Novel
245,41.0,14740,1942.0,0,Form
246,41.0,14741,1942.0,0,Form
247,41.0,14754,1942.0,6,Soviet Novel
248,43.0,14909,1918.0,4,Professional Activity
249,43.0,14909,1918.0,6,Soviet Novel
250,43.0,14912,1918.0,4,Professional Activity
251,43.0,14923,1918.0,8,Literary Models
252,43.0,14962,1918.0,6,Soviet Novel
253,44.0,15249,1944.0,8,Literary Models
254,44.0,15298,1946.0,8,Literary Models
255,44.0,15306,1946.0,3,In Media
256,44.0,15719,1958.0,9,Judgement
257,44.0,15891,1962.0,5,Publication
258,44.0,15891,1962.0,6,Soviet Novel
259,45.0,16205,1942.0,9,Judgement
260,46.0,16261,1949.0,5,Publication
261,46.0,16277,1955.0,5,Publication
262,46.0,16302,1962.0,2,Interpersonal
263,46.0,16325,1967.0,9,Judgement
264,46.0,16329,1968.0,8,Literary Models
265,46.0,16341,1968.0,0,Form
266,46.0,16353,1969.0,0,Form
267,46.0,16362,1969.0,3,In Media
268,46.0,16378,1971.0,9,Judgement
269,46.0,16392,1972.0,5,Publication
270,46.0,16392,1972.0,6,Soviet Novel
271,46.0,16403,1974.0,5,Publication
272,46.0,16403,1974.0,1,Content
273,46.0,16413,1974.0,5,Publication
274,46.0,16425,1975.0,0,Form
275,46.0,16443,1976.0,9,Judgement
276,46.0,16459,1978.0,6,Soviet Novel
277,46.0,16459,1978.0,4,Professional Activity
278,46.0,16461,1978.0,9,Judgement
279,46.0,16476,1979.0,5,Publication
280,46.0,16485,1980.0,0,Form
281,46.0,16487,1980.0,9,Judgement
282,46.0,16487,1980.0,0,Form
283,46.0,16529,1982.0,8,Literary Models
284,46.0,16535,1982.0,0,Form
285,46.0,16535,1982.0,0,Form
286,46.0,16553,1982.0,3,In Media
287,46.0,16557,1982.0,4,Professional Activity
288,46.0,16557,1982.0,0,Form
289,46.0,16557,1982.0,0,Form
290,46.0,16580,1982.0,5,Publication
291,46.0,16591,1983.0,0,Form
292,46.0,16627,1983.0,4,Professional Activity
293,46.0,16637,1983.0,8,Literary Models
294,46.0,16640,1983.0,8,Literary Models
295,46.0,16640,1983.0,6,Soviet Novel
296,46.0,16640,1983.0,6,Soviet Novel
297,46.0,16640,1983.0,5,Publication
298,46.0,16645,1983.0,3,In Media
299,46.0,16654,1983.0,5,Publication
300,46.0,16683,1984.0,0,Form
301,46.0,16685,1984.0,5,Publication
302,46.0,16687,1985.0,0,Form
303,46.0,16693,1985.0,6,Soviet Novel
304,46.0,16694,1986.0,0,Form
305,49.0,17015,1917.0,8,Literary Models
306,49.0,17067,1917.0,9,Judgement
307,49.0,17079,1917.0,4,Professional Activity
308,49.0,17095,1918.0,5,Publication
309,49.0,17648,1921.0,6,Soviet Novel
310,50.0,17490,1930.0,9,Judgement
311,53.0,18274,1966.0,4,Professional Activity
312,53.0,18283,1966.0,4,Professional Activity
313,53.0,18288,1966.0,3,In Media
314,53.0,18334,1967.0,3,In Media
315,53.0,18438,1975.0,0,Form
316,53.0,18438,1975.0,9,Judgement
317,53.0,18488,1976.0,4,Professional Activity
318,53.0,18746,1978.0,2,Interpersonal
319,53.0,18747,1978.0,0,Form
320,53.0,18795,1978.0,0,Form
321,53.0,18828,1979.0,5,Publication
322,53.0,18919,1979.0,2,Interpersonal
323,53.0,18919,1979.0,2,Interpersonal
324,53.0,19001,1981.0,1,Content
325,53.0,19009,1982.0,9,Judgement
326,53.0,19009,1982.0,6,Soviet Novel
327,53.0,19012,1982.0,9,Judgement
328,53.0,19012,1982.0,0,Form
329,53.0,19012,1982.0,3,In Media
330,53.0,19054,1982.0,3,In Media
331,53.0,19055,1982.0,0,Form
332,53.0,19061,1982.0,8,Literary Models
333,53.0,19132,1983.0,5,Publication
334,53.0,19162,1984.0,3,In Media
335,53.0,19164,1984.0,5,Publication
336,53.0,19164,1984.0,6,Soviet Novel
337,53.0,19306,1986.0,2,Interpersonal
338,53.0,19322,1986.0,3,In Media
339,53.0,19322,1986.0,6,Soviet Novel
340,53.0,19322,1986.0,0,Form
341,53.0,19341,1987.0,9,Judgement
342,53.0,19341,1987.0,4,Professional Activity
343,54.0,19550,1921.0,6,Soviet Novel
344,58.0,20002,1988.0,3,In Media
345,60.0,20126,1964.0,5,Publication
346,60.0,20129,1964.0,0,Form
347,60.0,20129,1964.0,6,Soviet Novel
348,60.0,20129,1964.0,9,Judgement
349,63.0,20677,1917.0,5,Publication
350,63.0,20801,1918.0,3,In Media
351,63.0,20822,1918.0,4,Professional Activity
352,63.0,20907,1918.0,5,Publication
353,63.0,21003,1918.0,0,Form
354,63.0,21036,1919.0,5,Publication
355,63.0,21066,1919.0,5,Publication
356,64.0,21226,1921.0,1,Content
357,65.0,40893,1945.0,5,Publication
